"char","response","nb_mtl","prop_mtl","prop_rds_mtl","rds_ci_mtl","nb_trt","prop_trt","prop_rds_trt","rds_ci_trt","nb_van","prop_van","prop_rds_van","rds_ci_van","nb_all","prop_all","prop_rds_all","rds_ci_all"
NA,NA,1179,NA,NA,"(NA–NA)",517,NA,NA,"(NA–NA)",753,NA,NA,"(NA–NA)",2449,NA,NA,"(NA–NA)"
"age_grp","18-29",384,"33","36","(34–39)",222,"43","51","(46–55)",293,"39","45","(42–49)",899,"37","42","(40–44)"
"age_grp","30-39",340,"29","27","(24–29)",183,"35","24","(20–28)",235,"31","26","(23–29)",758,"31","26","(24–28)"
"age_grp","40-49",166,"14","15","(13–17)",57,"11","8","(6–10)",86,"11","10","(8–12)",309,"13","12","(10–13)"
"age_grp","50-59",181,"15","12","(10–14)",39,"8","11","(8–14)",91,"12","11","(9–13)",311,"13","12","(10–13)"
"age_grp","60+",108,"9","10","(8–12)",16,"3","6","(4–8)",48,"6","8","(6–10)",172,"7","9","(8–10)"
"rel_status","Single",671,"57","56","(53–59)",279,"54","47","(43–52)",413,"55","57","(54–61)",1363,"56","55","(53–57)"
"rel_status","Open",330,"28","24","(22–27)",173,"33","25","(21–29)",221,"29","21","(18–24)",724,"30","23","(22–25)"
"rel_status","Exclusive",97,"8","10","(9–12)",48,"9","21","(17–24)",83,"11","15","(13–18)",228,"9","14","(13–15)"
"rel_status","Unclear",81,"7","9","(8–11)",17,"3","7","(4–9)",36,"5","7","(5–8)",134,"5","8","(7–9)"
"hiv_stat","Seropositive",215,"18","14","(12–16)",101,"20","22","(19–26)",132,"18","20","(18–23)",448,"18","18","(16–19)"
"hiv_stat","Seronegative",964,"82","86","(84–88)",416,"80","78","(74–81)",621,"82","80","(77–82)",2001,"82","82","(81–84)"
"bath","Yes",452,"38","31","(29–34)",273,"53","39","(35–43)",283,"38","29","(26–32)",1008,"41","32","(30–34)"
"bath","No",716,"61","67","(65–70)",237,"46","56","(52–61)",464,"62","70","(67–73)",1417,"58","66","(64–68)"
"bath","Missing",11,"1","1","(1–2)",7,"1","5","(3–7)",6,"1","1","(0–2)",24,"1","2","(1–2)"
"groupsex","Yes",273,"23","16","(14–18)",192,"37","23","(19–26)",208,"28","21","(18–24)",673,"27","19","(17–20)"
"groupsex","No",900,"76","83","(81–85)",316,"61","72","(68–75)",540,"72","79","(76–81)",1756,"72","79","(78–81)"
"groupsex","Missing",6,"1","1","(0–2)",9,"2","6","(4–8)",5,"1","1","(0–1)",20,"1","2","(1–2)"
"apps_partn","Yes",766,"65","56","(53–59)",403,"78","60","(56–64)",556,"74","65","(61–68)",1725,"70","59","(57–61)"
"apps_partn","No",413,"35","44","(41–47)",114,"22","40","(36–44)",197,"26","35","(32–39)",724,"30","41","(39–43)"
"sex_work","Yes",88,"7","6","(5–7)",54,"10","6","(4–7)",42,"6","6","(4–8)",184,"8","6","(5–7)"
"sex_work","No",1070,"91","91","(89–93)",454,"88","93","(91–95)",703,"93","93","(91–94)",2227,"91","92","(91–93)"
"sex_work","Missing",21,"2","3","(2–4)",9,"2","1","(0–2)",8,"1","1","(1–2)",38,"2","2","(2–3)"
"nb_part_ttl",NA,12.4,"(SD=22.1)","8.1","(6.9–9.4)",19,"(SD=31.6)","8.7","(7.4–9.9)",12.2,"(SD=19)","8","(6.8–9.2)",13.7,"(SD=23.8)","8.2","(7.4–9)"
"nb_part_anal",NA,7.4,"(SD=15.3)","4.9","(3.9–5.8)",12.2,"(SD=24.3)","5.9","(4.7–7.1)",8.3,"(SD=15.4)","5.2","(4.3–6)",8.7,"(SD=17.7)","5.2","(4.6–5.8)"
